id;url;titolo;consultato_il;metodo;data_documento;conferma_diretta
"V76-SRC-041";"https://www.cdtrilussapomezia.edu.it/pagine/sportello-psicologico-";"Fonte V7.6 · https://www.cdtrilussapomezia.edu.it/pagine/sportello-psicologico-";"2026-09-21";"documentale_web";"";"false"
"V76-SRC-042";"https://www.ispontecorvo.edu.it/pagine/sportello-dascolto-per-supporto-e-assistenza-psicologica";"Fonte V7.6 · https://www.ispontecorvo.edu.it/pagine/sportello-dascolto-per-supporto-e-assistenza-psicologica";"2026-09-21";"documentale_web";"";"false"
"V76-SRC-043";"https://www.liceobenedettodanorcia.edu.it/pagine/sportello-di-ascolto-psicologico";"Fonte V7.6 · https://www.liceobenedettodanorcia.edu.it/pagine/sportello-di-ascolto-psicologico";"2026-09-21";"documentale_web";"";"false"
"V76-SRC-044";"https://www.liceopaoloruffiniviterbo.edu.it/servizio/sportello-di-ascolto/";"Fonte V7.6 · https://www.liceopaoloruffiniviterbo.edu.it/servizio/sportello-di-ascolto/";"2026-09-21";"documentale_web";"";"false"
"V76-SRC-045";"https://www.itsbianchini.edu.it/pagine/sportello-dascolto";"Fonte V7.6 · https://www.itsbianchini.edu.it/pagine/sportello-dascolto";"2026-09-21";"documentale_web";"";"false"
"V76-SRC-046";"https://www.voltafr.edu.it/pagine/comunicazioni-";"Fonte V7.6 · https://www.voltafr.edu.it/pagine/comunicazioni-";"2026-09-21";"documentale_web";"";"false"
"V76-SRC-047";"https://www.rosatelli.edu.it/pn/";"Fonte V7.6 · https://www.rosatelli.edu.it/pn/";"2026-09-21";"documentale_web";"";"false"
"V76-SRC-048";"https://www.asl.vt.it/consultori";"Fonte V7.6 · https://www.asl.vt.it/consultori";"2026-09-21";"documentale_web";"";"false"
"V76-SRC-049";"https://progetti.regione.lazio.it/nonseisola/centri-antiviolenza-inseriti-nella-mappatura-della-regione-lazio/";"Fonte V7.6 · https://progetti.regione.lazio.it/nonseisola/centri-antiviolenza-inseriti-nella-mappatura-della-regione-lazio/";"2026-09-21";"documentale_web";"";"false"
"V76-SRC-050";"https://progetti.regione.lazio.it/nonseisola/mappa-centri-antiviolenza/";"Fonte V7.6 · https://progetti.regione.lazio.it/nonseisola/mappa-centri-antiviolenza/";"2026-09-21";"documentale_web";"";"false"
"V76-SRC-051";"https://www.uniroma4.it/index.php/come-fare-per/usufruire-dello-sportello-di-ascolto/";"Fonte V7.6 · https://www.uniroma4.it/index.php/come-fare-per/usufruire-dello-sportello-di-ascolto/";"2026-09-21";"documentale_web";"";"false"
"V76-SRC-052";"https://www.uniroma4.it/index.php/avvisi/benessere-personale-e-nato-un-nuovo-spazio-di-ascolto-in-ateneo/";"Fonte V7.6 · https://www.uniroma4.it/index.php/avvisi/benessere-personale-e-nato-un-nuovo-spazio-di-ascolto-in-ateneo/";"2026-09-21";"documentale_web";"";"false"
